T,m,r,d
300.423407479225,0.7969,1,2574937920.48732
302.054451970071,0.7969,1,2548238140.52906
303.655092240645,0.7969,1,2525774077.68511
305.279843535511,0.7969,1,2507282487.58514
306.910347692266,0.7969,1,2485235810.10551
308.503408516876,0.7969,1,2459858932.86076
310.110773520737,0.7969,1,2438416340.44859
311.747483719439,0.7969,1,2417164058.6136
313.369050090339,0.7969,1,2396188044.45343
315.097638170518,1.8134,1,2511355076.15706
313.476637186952,1.8134,1,2533013364.34954
311.856435733976,1.8134,1,2551162915.29185
310.249352807033,1.8134,1,2573253507.42
308.623239781669,1.8134,1,2591796495.9082
307.01482308742,1.8134,1,2614362164.82361
305.411893627324,1.8134,1,2637181887.51404
303.82325143081,1.8134,1,2656260473.27715
302.222517326412,1.8134,1,2679567864.86365
300.626871787879,1.8134,1,2699068787.61502
299.009997687627,1.8134,1,2722916106.3197
297.421944454633,1.8134,1,2746987527.37026
295.804276440611,1.8134,1,2767190692.85281
294.209448101199,1.8134,1,2791804930.19589
292.589837664304,1.8134,1,2812451185.10118
291.018852685942,1.8134,1,2837557373.20901
289.41075262175,1.8134,1,2858629650.47367
287.851419093394,1.8134,1,2884268267.08943
286.236412553412,1.8134,1,2905819331.36884
284.659384605718,1.8134,1,2932071328.18198
283.080528259431,1.8134,1,2954018549.11125
