T,m,r,d
303.82,1.8137006950504106,1.0,1410.0
302.22,1.8137006950504106,1.0,1415.0
300.63,1.8137006950504106,1.0,1420.0
299.01,1.8137006950504106,1.0,1425.0
297.42,1.8137006950504106,1.0,1431.0
295.8,1.8137006950504106,1.0,1435.0
294.21,1.8137006950504106,1.0,1440.0
292.59,1.8137006950504106,1.0,1445.0
291.02,1.8137006950504106,1.0,1450.0
289.41,1.8137006950504106,1.0,1455.0
287.85,1.8137006950504106,1.0,1460.0
286.24,1.8137006950504106,1.0,1465.0
284.66,1.8137006950504106,1.0,1471.0
283.08,1.8137006950504106,1.0,1475.0
